,programTitle,infoCat,region,url,description,organization,contact,page
0,['Agriculture Development Fund (ADF)'],[],[],['http://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/canadian-agricultural-partnership-cap/science-research-and-innovation/adf'],['\nThe Agriculture Development Fund (ADF) supports the growth of the agriculture industry in Saskatchewan. ADF develops solutions to emerging problems that constrain production and value-added processing.\n'],['\nSaskatchewan Ministry of Agriculture\n'],['\n\narbonline@gov.sk.ca\n\n1-306-787-2654\n1-306-787-6566\n'],2
1,['Agriculture Economic Indicators'],[],[],['https://www.alberta.ca/agriculture-economic-indicators.aspx'],['\nReports on food and beverage manufacturing and other Alberta economic indicators.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],2
2,['Agriculture Education Program'],[],[],['https://yukon.ca/en/youth-agriculture-education-funding'],['\nThe Agriculture Education Program supports agriculture education for youth.\n'],"['\nGovernment of Yukon, Agriculture Branch\n']",['\n1-867-667-5838\n\nagriculture@gov.yk.ca\n\n'],2
3,['Agriculture Environmental Stewardship'],['Guides/Information'],[],['https://www.alberta.ca/agriculture-environmental-stewardship.aspx'],"['\nPrograms and resources to help farmers, producers and operators practice sustainable agriculture.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],2
4,['Agriculture Funding Consortium'],[],[],['http://www.fundingconsortium.ca/'],['\nThe Consortium is a one-window approach for agricultural research and development funding.\n'],['\nAgriculture Funding Consortium (AFC)\n'],['\n\ninfo@fundingconsortium.ca\n\n'],2
5,['Agriculture Growth and Innovation Program'],[],[],['https://www.gov.nl.ca/ffa/programs-and-funding/programs/cap/'],"['\nThe objective of the Agriculture Growth and Innovation Program is to accelerate the pace of innovation, and enhance the growth, resiliency, competitiveness and productivity of the agriculture sector in Newfoundland and Labrador.\n']","['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n\nCAP@gov.nl.ca\n\n1-709-637-2589\n1-709-637-2077\n'],2
6,['Agriculture Job Connector'],[],[],['https://www.alberta.ca/agriculture-job-connector.aspx'],['\nMatching workers with employers to fill agriculture and agri-food jobs.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],2
7,['Agriculture Knowledge Centre'],['Guides/Information'],[],['http://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/agriculture-regional-offices/view-regional-staff-biographies/agriculture-knowledge-centre'],"['\nProvides agriculture information and advice to farmers, ranchers and the agriculture industry on topics ranging from crop and livestock production to new research and technology, government programs and services, and farm business management.\n']",['\nSaskatchewan Ministry of Agriculture\n'],"['\n1-306-694-3727\n', '\n1-306-694-3938\n1-866-457-2377\n']",2
8,['Agriculture Land Consolidation'],[],[],['https://www.gov.nl.ca/ffa/faa/agrifoods/land/land-use/consolidation/'],['\nThe Agriculture Land Consolidation Program provides an opportunity for non-farm landowners and retiring farmers to sell granted (freehold) land to the Government of Newfoundland and Labrador.\n'],"['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\nLand Resource Stewardship Division\n1-709-637-2586\n1-709-637-2081\n'],2
9,['Agriculture Land Development Program'],[],[],['https://www.gov.nl.ca/ffa/programs-and-funding/programs/cap/'],"['\nThe objective of the Agriculture Land Development Program is to enhance the productive capacity of agricultural land in the province and to increase the utilization of agricultural land resources to address food self-sufficiency, domestic market development and environmentally sustainable crop management practices.\n']","['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n\nCAP@gov.nl.ca\n\n1-709-637-2589\n1-709-637-2077\n'],2
10,['Agriculture Land Use Planning'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/landuse/index.html'],"['\nOMAFRA has adopted policies to protect agricultural land and farm operations for the long term. Land use planning through documents such as the Greenbelt Plan, 2017; the Nutrient Management Act, 2002; the Farming and Food Production Protection Act, 1998; the Minimum Distance Separation (MDS) Document Formulae and Guidelines for Livestock Facility and Anaerobic Digester Odour Setbacks; and the Provincial Policy Statement, 2014 help ensure future planning stability in rural areas.\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\nag.info.omafra@ontario.ca\xa0\n\n1-877-424-1300\n'],2
11,['Agriculture Leases or Licences'],[],[],['https://www.gov.nl.ca/ffa/licenses-permits-and-fees/agriculture/'],['\nInformation on agriculture leases or licences in Newfoundland and Labrador.\n'],"['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n1-709-637-2589\n1-709-637-2077\n'],2
12,['Agriculture Loan and Loan Guarantees'],[],[],['https://www2.gnb.ca/content/gnb/en/services/services_renderer.201158.Loan_Guarantees_-_Agriculture.html'],['\nProvides repayable loans and loan guarantees to promote development of the agriculture sector as a complementary lender.\n'],"['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\nIndustry Financial Programs (Branch)\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-2185\n'],2
13,['Agriculture Loans'],[],[],['https://www.princeedwardisland.ca/en/information/finance-pei/agriculture'],['\nFinance PEI provides loans to those involved in the agricultural industry.\n'],['\nDevelopment Lending and Strategic Initiatives and Properties Division\n'],['\n\nfinancepei@gov.pe.ca\n\n1-902-368-6255\n1-902-368-6300\n'],2
14,['Agriculture On-Farm Student Bursary Program'],[],[],['https://novascotia.ca/programs/on-farm-student-bursary/'],"['\nThe bursary program provides bursaries of up to $1,000 for eligible post-secondary students who worked on a farm in the summer of 2019.\n']",['\nNova Scotia Department of Agriculture\n'],['\n1-902-893-6377\n1-866-844-4276\n1-902-893-7579\n\nprm@novascotia.ca\n\n'],2
15,['Agriculture Processing and Value-Added Program'],[],[],['https://www.gov.nl.ca/ffa/programs-and-funding/programs/cap/'],['\nThe objective of the Agriculture Processing and Value-Added Program is to support value-added agriculture and agriprocessing in Newfoundland and Labrador and to maintain and expand domestic and export competitiveness\n'],"['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n\nCAP@gov.nl.ca\n\n1-709-637-2589\n1-709-637-2077\n'],2
16,['Agriculture Publications'],['Guides/Information'],[],['https://www.princeedwardisland.ca/en/topic/agriculture-publications'],['\nFind agricultural publications on this page.\n'],['\nPrince Edward Island Department of Agriculture and Land\n'],['\n1-902-314-1607\n1-866-734-3276\n'],2
17,['Agriculture Research and Innovation Program'],[],[],['https://www.princeedwardisland.ca/en/service/agriculture-research-and-innovation-program-arip'],"['\nThe Agriculture Research and Innovation Program (ARIP) is comprised of four sub-programs that support farm-level research, innovation and adoption projects that can lead increased competitiveness, productivity and profitability of the PEI agriculture industry.\n']",['\nPrince Edward Island Department of Agriculture and Land\n'],['\n1-902-368-4880\n1-866-734-3276\n\nARIP@gov.pe.ca\n\n'],2
18,['Agriculture Site Suitability Maps'],[],[],['http://www2.gnb.ca/content/gnb/en/departments/10/agriculture/content/agriculture-suitability.html'],['\nThe Department has established new interactive maps to help prospective farmers begin to investigate areas and properties that may be favourable to certain crops.\n'],"['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-7170\n1-506-453-2666\n1-888-622-4742\n'],2
19,['Agriculture Statistics'],[],[],['https://www.alberta.ca/agriculture-statistics.aspx'],"['\nCrops, livestocks, census of agriculture, farm financial, economic indicators, surveys and real estate transfers.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],2
20,['Agriculture Stewardship Program'],[],[],['https://www.princeedwardisland.ca/en/service/agriculture-stewardship-program'],"['\nThe\xa0Agriculture Stewardship Program\xa0is a suite of initiatives designed to increase environmental sustainability, climate change mitigation and adaptation by providing technical and financial support to encourage producers to voluntarily implement Beneficial Management Practices (BMPs).\n']",['\nPrince Edward Island Department of Agriculture and Land\n'],['\n1-902-368-4880\n1-902-368-4857\n\nagstewardship@gov.pe.ca\n\n'],2
21,['Agriculture Student Scholarship'],[],[],['http://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/canadian-agricultural-partnership-cap/public-trust/agriculture-student-scholarship'],"['\nThe Saskatchewan Ministry of Agriculture offers the Agriculture Student Scholarship which awards one winning scholarship valued at $4,000 and three runner-up scholarships valued at $2,000 to students willing to speak up and tell the exciting story of the industry.\n']",['\nMinistry of Agricuture - Saskatchewan\n'],['\n1-306-787-9773\n\nagriculture.scholarship@gov.sk.ca\n\n'],2
22,['Agriculture Sustainability and Measurement'],['Guides/Information'],[],['https://www.alberta.ca/agriculture-sustainability-and-measurement.aspx'],['\nGovernment works with industry to better understand and measure the environmental impacts of Alberta’s agri-food industry.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],2
23,['Agriculture Training Program'],[],[],['https://www.iti.gov.nt.ca/en/services/apply-agriculture-training-program'],['\nThe purpose of this program is to provide assistance for individuals and businesses involved in the agriculture sector to advance their competencies through a variety of training and educational programs.\n'],"['\nNorthwest Territories Department of Industry, Tourism and Investment\n']",['\n867-767-9205 ext. 63107\n'],2
24,['Agriculture Training Program'],[],[],['https://yukon.ca/en/agriculture-training-program'],['\nThe Agriculture Training Program helps the Yukon agriculture and agrifood community develop skills and knowledge.\n'],"['\nGovernment of Yukon, Agriculture Branch\n']",['\n1-867-667-5838\n\nagriculture@gov.yk.ca\n\n'],2
25,['Agriculture Training Support'],[],[],['https://cap.alberta.ca/CAP/program/TRAINING'],['\nProvides support to the agricultural and horticultural businesses and services to help address the impact of COVID-19. The program will provide a grant to eligible employers to offset the costs of training and ensuring safety protocols are in place for new employees hired from the available domestic labour pool.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nDrew Hiltz\n1-780-427-8228\n\ndrew.hiltz@gov.ab.ca\n\n'],2
